Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Stability Ball Dead Bug,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Stability Ball,1,,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,
Bodyweight Glute Bridge,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,1,,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,
Bodyweight Bird Dog,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,
"Stability Ball Russian Twist ",Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
"Stability Ball Feet Elevated Crunch ",Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,
"Ring Hanging Knee Raise ",Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Parallette Mountain Climber,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Parallette Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,
Stability Ball V Up Pass,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
